holiday,temperature,rain_1h,snow_1h,clouds_percentage,weather_type,weather_type_details,date_time,population_density,population_density_categorical,temperature_categorical
None,279.027,0.0,0.0,92,Rain,moderate rain,10/6/2016 23:00,1011,very low,medium
None,292.53,0.0,0.0,1,Clear,sky is clear,8/1/2017 8:00,6052,very high,high
None,268.72,0.0,0.0,90,Mist,mist,3/5/2013 23:00,994,very low,low
None,287.14,0.0,0.0,1,Haze,haze,11/3/2015 23:00,994,very low,medium
None,252.0,0.0,0.0,1,Clear,sky is clear,12/26/2017 0:00,539,very low,low
None,298.76,0.0,0.0,1,Clear,sky is clear,6/16/2018 1:00,825,very low,high
None,294.81,0.0,0.0,56,Clouds,broken clouds,8/12/2013 12:00,5117,high,high
None,272.58,0.0,0.0,90,Haze,haze,2/15/2016 18:00,4092,medium,medium
None,289.89,0.0,0.0,1,Mist,mist,7/19/2017 2:00,328,very low,medium
None,273.68,0.0,0.0,90,Clouds,overcast clouds,3/3/2016 15:00,5932,very high,medium
None,286.92,0.0,0.0,1,Mist,mist,6/27/2015 6:00,1371,very low,medium
None,277.01,0.0,0.0,75,Drizzle,light intensity drizzle,10/29/2017 22:00,1661,low,medium
None,296.29,0.0,0.0,90,Clouds,overcast clouds,6/18/2018 15:00,5558,high,high
None,285.68,0.0,0.0,1,Fog,fog,8/29/2017 7:00,6530,very high,medium
None,269.17,0.0,0.05,90,Snow,light snow,12/29/2015 14:00,4301,medium,low
None,284.73,0.0,0.0,1,Clear,sky is clear,4/29/2013 5:00,2608,low,medium
None,263.65,0.0,0.0,40,Clouds,scattered clouds,2/2/2017 13:00,4801,high,low
None,283.84,0.0,0.0,1,Clear,sky is clear,5/27/2017 5:00,476,very low,medium
None,282.51,0.0,0.0,1,Clear,sky is clear,5/20/2018 2:00,525,very low,medium
None,277.49,0.0,0.0,90,Clouds,overcast clouds,3/18/2018 13:00,4713,high,medium
None,272.08,0.0,0.0,1,Clear,sky is clear,3/25/2018 4:00,274,very low,low
None,301.72,0.0,0.0,75,Clouds,broken clouds,7/24/2015 15:00,5735,high,high
None,296.04,0.0,0.0,40,Clouds,scattered clouds,9/7/2016 16:00,6244,very high,high
None,291.41,0.0,0.0,40,Clouds,scattered clouds,7/28/2017 8:00,5370,high,medium
None,296.44,0.0,0.0,75,Clouds,broken clouds,7/3/2016 11:00,3166,medium,high
None,285.33,0.25,0.0,1,Rain,light rain,8/30/2018 3:00,388,very low,medium
None,273.9,0.0,0.0,1,Clear,sky is clear,10/11/2012 1:00,347,very low,medium
None,292.42,0.0,0.0,1,Clear,sky is clear,7/25/2018 1:00,388,very low,high
None,278.84,0.97,0.0,32,Mist,mist,10/19/2013 15:00,4885,high,medium
None,272.55,0.0,0.0,90,Mist,mist,2/16/2016 6:00,5526,high,medium
None,287.89,0.0,0.0,90,Rain,light rain,5/18/2013 15:00,4875,high,medium
None,274.95,0.0,0.0,90,Mist,mist,10/28/2015 19:00,3172,medium,medium
None,270.08,0.0,0.0,90,Snow,light snow,2/5/2016 16:00,6824,very high,low
None,292.49,0.0,0.0,75,Clouds,broken clouds,9/7/2017 20:00,3280,medium,high
None,271.36,0.0,0.0,90,Snow,light snow,4/3/2018 9:00,3893,medium,low
None,277.68,0.0,0.0,40,Clouds,scattered clouds,2/26/2018 15:00,5389,high,medium
None,287.46,0.0,0.0,1,Clear,sky is clear,10/13/2017 15:00,6361,very high,medium
None,293.05,0.0,0.0,0,Clear,Sky is Clear,6/10/2016 5:00,2915,medium,high
None,272.81,0.0,0.0,1,Clear,sky is clear,12/22/2016 19:00,3402,medium,medium
None,287.18,0.0,0.0,90,Clouds,overcast clouds,10/18/2012 16:00,6307,very high,medium
None,300.14,0.0,0.0,1,Clear,sky is clear,8/12/2015 19:00,3670,medium,high
None,279.55,0.0,0.0,90,Mist,mist,4/20/2017 12:00,5099,high,medium
None,264.11,0.0,0.0,64,Clouds,broken clouds,12/17/2013 19:00,3296,medium,low
None,263.77,0.0,0.0,64,Clouds,broken clouds,12/20/2013 10:00,4703,high,low
None,279.08,0.0,0.0,90,Clouds,overcast clouds,12/7/2015 17:00,6067,very high,medium
None,296.61,0.0,0.0,75,Clouds,broken clouds,5/29/2016 14:00,3835,medium,high
None,288.59,0.0,0.0,90,Clouds,overcast clouds,8/24/2015 23:00,1037,very low,medium
None,283.01,0.0,0.0,90,Drizzle,light intensity drizzle,5/21/2017 11:00,4238,medium,medium
None,272.52,0.0,0.0,1,Clear,sky is clear,1/11/2013 6:00,5163,high,medium
None,283.99,0.0,0.0,76,Clouds,broken clouds,8/5/2013 6:00,5471,high,medium
None,288.42,0.0,0.0,90,Thunderstorm,proximity thunderstorm with rain,10/21/2017 9:00,3381,medium,medium
None,300.27,0.0,0.0,90,Clouds,overcast clouds,7/5/2014 14:00,3933,medium,high
None,300.55,0.0,0.0,1,Clear,sky is clear,6/28/2018 21:00,2908,low,high
None,287.43,0.0,0.0,1,Mist,mist,8/29/2017 1:00,374,very low,medium
None,254.29,0.0,0.0,40,Clouds,scattered clouds,12/25/2017 14:00,2850,low,low
None,284.35,0.0,0.0,90,Mist,mist,3/6/2017 10:00,4296,medium,medium
None,293.54,0.25,0.0,75,Rain,light rain,8/29/2018 19:00,3487,medium,high
None,274.48,0.0,0.0,90,Snow,light snow,12/25/2016 18:00,2148,low,medium
None,279.29,0.0,0.0,90,Mist,mist,5/20/2017 11:00,3998,medium,medium
None,272.36,0.0,0.0,75,Mist,mist,3/11/2018 7:00,1039,very low,medium
None,266.37,0.0,0.0,1,Clear,sky is clear,1/23/2018 5:00,2008,low,low
None,265.93,0.0,0.0,90,Snow,light snow,12/22/2017 6:00,4378,high,low
None,291.0,0.0,0.0,90,Drizzle,light intensity drizzle,6/19/2018 14:00,5109,high,medium
None,275.22,0.0,0.0,90,Drizzle,drizzle,3/26/2017 9:00,2656,low,medium
None,298.75,0.0,0.0,90,Clouds,overcast clouds,7/18/2017 17:00,6315,very high,high
None,275.95,0.0,0.0,90,Rain,light rain,3/27/2017 5:00,2711,low,medium
None,291.09,0.0,0.0,75,Clouds,broken clouds,10/6/2015 12:00,4817,high,medium
None,292.02,0.0,0.0,1,Clear,sky is clear,7/5/2015 7:00,1099,very low,high
None,285.48,0.0,0.0,0,Clear,Sky is Clear,8/2/2013 6:00,5610,high,medium
None,257.0,0.0,0.0,1,Clear,sky is clear,2/2/2014 23:00,942,very low,low
None,249.38,0.0,0.0,5,Clear,sky is clear,1/12/2018 8:00,4240,medium,low
None,272.58,0.0,0.0,90,Mist,mist,4/20/2013 2:00,571,very low,medium
None,293.5,0.0,0.0,40,Clouds,scattered clouds,9/10/2016 13:00,4687,high,high
None,277.66,0.0,0.0,90,Clouds,overcast clouds,3/11/2014 3:00,389,very low,medium
None,255.52,0.0,0.0,1,Clear,sky is clear,2/9/2014 20:00,2245,low,low
None,281.08,0.0,0.0,90,Clouds,overcast clouds,4/11/2018 17:00,6744,very high,medium
None,294.56,0.0,0.0,1,Clear,sky is clear,8/26/2016 13:00,5090,high,high
None,298.92,0.25,0.0,1,Rain,light rain,9/2/2018 19:00,3098,medium,high
None,269.63,0.0,0.0,20,Clouds,few clouds,4/2/2014 9:00,5221,high,low
None,295.94,0.0,0.0,90,Clouds,overcast clouds,7/31/2016 23:00,2096,low,high
None,282.08,0.0,0.0,75,Rain,light rain,4/25/2013 16:00,6813,very high,medium
None,276.89,0.0,0.0,1,Clear,sky is clear,4/2/2017 4:00,561,very low,medium
None,253.88,0.0,0.0,32,Clouds,scattered clouds,2/4/2013 4:00,742,very low,low
None,265.51,0.0,0.0,20,Clouds,few clouds,12/21/2012 19:00,3725,medium,low
None,280.35,0.0,0.0,24,Clouds,few clouds,10/12/2013 23:00,2186,low,medium
None,287.37,0.0,0.0,90,Rain,light rain,9/20/2018 3:00,344,very low,medium
None,284.54,0.0,0.0,0,Clear,Sky is Clear,9/30/2016 10:00,4383,high,medium
None,270.01,0.0,0.0,90,Mist,mist,2/23/2018 5:00,2451,low,low
None,270.47,0.0,0.0,6,Clear,sky is clear,11/30/2012 4:00,784,very low,low
None,283.87,0.0,0.0,75,Clouds,broken clouds,5/7/2014 7:00,7070,very high,medium
None,256.43,0.0,0.0,1,Clear,sky is clear,2/3/2014 3:00,319,very low,low
None,297.28,0.0,0.0,5,Clear,sky is clear,8/9/2018 10:00,4517,high,high
None,291.56,0.0,0.0,0,Clear,Sky is Clear,6/16/2016 0:00,775,very low,medium
None,293.08,0.0,0.0,1,Clear,sky is clear,7/31/2017 0:00,796,very low,high
None,261.81,0.0,0.0,75,Clouds,broken clouds,2/11/2014 16:00,6431,very high,low
None,265.52,0.0,0.0,90,Mist,mist,12/29/2012 3:00,357,very low,low
None,275.55,0.0,0.0,90,Rain,light rain,3/5/2018 1:00,471,very low,medium
None,295.42,0.0,0.0,75,Clouds,broken clouds,9/16/2016 15:00,5596,high,high
None,275.5,0.0,0.0,1,Mist,mist,1/19/2017 11:00,4862,high,medium
None,292.51,0.0,0.0,1,Fog,fog,7/21/2017 2:00,333,very low,high
None,273.36,0.0,0.0,64,Clouds,broken clouds,1/13/2014 2:00,210,very low,medium
None,272.15,0.0,0.0,90,Drizzle,light intensity drizzle,1/17/2017 7:00,5304,high,low
None,283.96,0.25,0.0,90,Rain,proximity shower rain,9/21/2018 9:00,4981,high,medium
None,295.63,0.0,0.0,1,Clear,sky is clear,9/7/2013 22:00,3792,medium,high
None,295.61,0.0,0.0,90,Mist,mist,7/26/2017 5:00,2900,low,high
None,267.36,0.0,0.0,75,Clouds,broken clouds,12/31/2016 20:00,4490,high,low
None,292.31,0.0,0.0,20,Clouds,few clouds,7/31/2016 2:00,330,very low,high
None,291.42,0.0,0.0,36,Fog,fog,7/9/2013 9:00,5063,high,medium
None,275.4,0.0,0.0,90,Clouds,overcast clouds,11/25/2016 14:00,4155,medium,medium
None,294.37,0.25,0.0,90,Rain,light rain,9/2/2018 9:00,2929,medium,high
None,270.09,0.0,0.0,1,Clear,sky is clear,1/30/2018 20:00,2885,low,low
None,291.35,0.25,0.0,90,Drizzle,drizzle,9/20/2018 22:00,2356,low,medium
None,276.269,0.0,0.0,68,Clouds,broken clouds,2/16/2017 12:00,4864,high,medium
None,290.17,1.02,0.0,1,Mist,mist,8/26/2018 1:00,855,very low,medium
None,280.4,0.0,0.0,90,Clouds,overcast clouds,4/8/2013 20:00,2620,low,medium
None,284.99,0.0,0.0,40,Clouds,scattered clouds,9/23/2018 3:00,319,very low,medium
None,272.15,0.0,0.0,90,Fog,fog,4/3/2018 14:00,4058,medium,low
None,287.15,0.0,0.0,90,Mist,mist,9/18/2017 22:00,1493,low,medium
None,277.09,1.32,0.0,90,Rain,moderate rain,4/29/2014 4:00,812,very low,medium
None,290.58,0.0,0.0,1,Mist,mist,6/23/2018 1:00,872,very low,medium
None,287.15,0.0,0.0,90,Clouds,overcast clouds,5/19/2018 17:00,4133,medium,medium
None,276.64,0.0,0.0,1,Haze,haze,3/31/2013 22:00,1841,low,medium
None,264.72,0.0,0.0,75,Snow,light snow,12/5/2017 8:00,2160,low,low
None,271.22,0.0,0.0,90,Snow,light snow,4/3/2018 5:00,2555,low,low
None,275.56,0.0,0.0,90,Snow,heavy snow,5/4/2013 13:00,4874,high,medium
None,269.23,0.0,0.0,90,Snow,snow,11/10/2017 22:00,2467,low,low
None,263.11,0.0,0.0,64,Mist,mist,12/16/2013 22:00,1528,low,low
None,265.58,0.0,0.0,75,Clouds,broken clouds,12/6/2012 7:00,6789,very high,low
None,299.36,0.0,0.0,80,Thunderstorm,proximity thunderstorm,8/30/2013 10:00,5323,high,high
None,285.08,0.0,0.0,1,Clear,sky is clear,5/7/2013 0:00,561,very low,medium
None,286.71,0.0,0.0,92,Mist,mist,7/2/2014 2:00,312,very low,medium
None,270.17,0.0,0.0,75,Clouds,broken clouds,12/25/2015 6:00,481,very low,low
None,269.43,0.0,0.0,75,Haze,haze,4/16/2018 9:00,4045,medium,low
None,274.29,0.0,0.0,90,Clouds,overcast clouds,3/27/2018 11:00,4466,high,medium
None,275.22,0.0,0.0,90,Clouds,overcast clouds,11/26/2015 6:00,827,very low,medium
None,270.84,0.0,0.0,1,Clear,sky is clear,3/25/2016 5:00,2106,low,low
None,284.79,0.0,0.0,90,Rain,light rain,4/25/2016 15:00,5847,very high,medium
None,264.42,0.0,0.0,40,Mist,mist,2/27/2013 7:00,7067,very high,low
None,293.08,0.0,0.0,90,Drizzle,light intensity drizzle,6/18/2018 7:00,6386,very high,high
None,271.86,0.0,0.0,90,Snow,heavy snow,4/20/2013 9:00,3745,medium,low
None,250.63,0.0,0.0,42,Clouds,scattered clouds,1/22/2013 1:00,275,very low,low
None,284.22,0.0,0.0,90,Clouds,overcast clouds,4/20/2016 1:00,381,very low,medium
None,291.11,0.0,0.0,90,Mist,mist,7/28/2016 5:00,2860,low,medium
None,290.42,0.0,0.0,90,Rain,light rain,7/13/2017 21:00,3123,medium,medium
None,266.51,0.0,0.0,1,Clear,sky is clear,2/29/2016 12:00,4859,high,low
None,268.14,0.0,0.0,1,Clear,sky is clear,12/19/2016 21:00,2032,low,low
None,300.43,0.0,0.0,76,Clouds,broken clouds,8/22/2013 12:00,5462,high,high
None,275.15,0.0,0.0,1,Clear,sky is clear,11/18/2012 0:00,1293,very low,medium
None,283.03,0.0,0.0,1,Clear,sky is clear,11/1/2012 15:00,5713,high,medium
None,292.55,0.0,0.0,90,Clouds,overcast clouds,4/15/2017 14:00,4568,high,high
None,280.47,0.0,0.0,20,Clouds,few clouds,10/20/2012 20:00,3107,medium,medium
None,282.87,0.0,0.0,90,Mist,mist,4/19/2016 8:00,6332,very high,medium
None,269.29,0.0,0.0,90,Mist,mist,12/17/2017 11:00,3996,medium,low
None,257.22,0.0,0.0,1,Clear,sky is clear,12/10/2016 8:00,2825,low,low
None,304.399,0.0,0.0,0,Clear,Sky is Clear,8/9/2016 18:00,4214,medium,high
None,274.72,0.0,0.0,90,Mist,mist,4/10/2017 21:00,1864,low,medium
None,286.74,0.0,0.0,75,Mist,mist,4/18/2017 12:00,5009,high,medium
None,270.72,0.0,0.0,90,Fog,fog,1/22/2018 18:00,1086,very low,low
None,273.6,0.0,0.0,64,Mist,mist,11/14/2013 23:00,1247,very low,medium
None,258.0,0.0,0.0,40,Clouds,scattered clouds,12/26/2012 18:00,3838,medium,low
None,274.44,0.0,0.0,64,Clouds,broken clouds,11/10/2013 6:00,768,very low,medium
None,272.11,0.0,0.0,90,Clouds,overcast clouds,1/17/2013 8:00,5912,very high,low
None,296.48,0.0,0.0,20,Clouds,few clouds,8/30/2016 19:00,2932,medium,high
None,295.86,0.0,0.0,40,Clouds,scattered clouds,10/19/2017 17:00,5975,very high,high
None,294.51,0.0,0.0,40,Drizzle,drizzle,6/24/2018 9:00,3560,medium,high
None,275.15,0.0,0.0,90,Mist,mist,4/26/2017 23:00,1062,very low,medium
None,289.11,0.0,0.0,0,Clear,Sky is Clear,7/25/2013 7:00,6331,very high,medium
None,299.35,0.0,0.0,0,Clear,Sky is Clear,8/30/2013 23:00,2101,low,high
None,275.02,0.0,0.0,90,Snow,light snow,1/20/2017 6:00,5279,high,medium
None,293.83,0.0,0.0,40,Clouds,scattered clouds,6/6/2017 22:00,2220,low,high
None,290.11,0.0,0.0,0,Clear,Sky is Clear,8/2/2013 0:00,894,very low,medium
None,251.29,0.0,0.0,40,Clouds,scattered clouds,1/14/2018 6:00,735,very low,low
None,274.75,0.0,0.0,90,Haze,haze,1/10/2018 7:00,6228,very high,medium
None,281.53,0.0,0.0,1,Haze,haze,10/25/2017 23:00,1416,very low,medium
None,290.22,0.0,0.0,75,Clouds,broken clouds,10/21/2017 6:00,1248,very low,medium
None,294.79,0.0,0.0,90,Rain,light rain,7/16/2015 10:00,4338,medium,high
None,283.31,0.25,0.0,76,Drizzle,light intensity drizzle,10/12/2013 18:00,4724,high,medium
None,276.23,0.0,0.0,90,Mist,mist,4/26/2017 6:00,5270,high,medium
None,262.35,0.0,0.0,1,Clear,sky is clear,3/14/2013 9:00,5615,high,low
None,296.2,0.0,0.0,44,Rain,moderate rain,6/25/2013 21:00,2764,low,high
None,256.27,0.0,0.0,75,Clouds,broken clouds,12/27/2012 1:00,418,very low,low
None,292.59,1.95,0.0,36,Rain,moderate rain,8/11/2016 2:00,442,very low,high
None,294.74,4.8,0.0,90,Mist,mist,7/7/2014 18:00,4063,medium,high
None,291.44,0.0,0.0,1,Clear,sky is clear,7/18/2018 8:00,5696,high,medium
None,285.38,0.0,0.0,1,Mist,mist,5/14/2018 7:00,6559,very high,medium
None,271.94,0.0,0.0,64,Clouds,broken clouds,12/27/2013 11:00,4555,high,low
None,270.58,0.0,0.0,90,Snow,light snow,4/8/2018 22:00,1425,very low,low
None,280.28,0.0,0.0,96,Rain,light rain,10/20/2012 1:00,773,very low,medium
None,291.952,0.0,0.0,44,Clouds,scattered clouds,7/14/2016 7:00,6131,very high,high
None,295.1,0.34,0.0,24,Rain,light rain,6/1/2014 18:00,4105,medium,high
None,295.16,0.25,0.0,75,Rain,light rain,9/1/2018 2:00,569,very low,high
None,286.9,0.0,0.0,20,Clouds,few clouds,10/12/2015 7:00,6241,very high,medium
None,277.22,0.0,0.0,90,Mist,mist,4/9/2013 8:00,5954,very high,medium
None,294.51,0.0,0.0,40,Clouds,scattered clouds,10/19/2015 14:00,5101,high,high
None,268.47,0.0,0.0,75,Clouds,broken clouds,11/21/2013 23:00,1200,very low,low
None,277.69,0.0,0.0,1,Clear,sky is clear,4/22/2014 4:00,815,very low,medium
None,290.08,0.0,0.0,1,Clear,sky is clear,8/5/2017 23:00,3893,medium,medium
None,273.72,0.0,0.0,90,Snow,light snow,11/4/2017 1:00,658,very low,medium
None,287.41,0.0,0.0,75,Mist,mist,10/24/2012 22:00,1701,low,medium
None,266.01,0.0,0.0,1,Clear,sky is clear,4/3/2013 8:00,6637,very high,low
None,292.84,0.0,0.0,1,Clear,sky is clear,6/30/2017 10:00,4638,high,high
None,286.665,0.0,0.0,0,Clear,Sky is Clear,10/5/2016 9:00,4859,high,medium
None,293.13,0.0,0.0,40,Clouds,scattered clouds,9/3/2017 10:00,4184,medium,high
None,272.02,0.0,0.0,90,Haze,haze,2/1/2016 19:00,3096,medium,low
None,269.18,0.0,0.0,64,Mist,mist,12/26/2013 14:00,4874,high,low
None,268.19,0.0,0.0,75,Clouds,broken clouds,3/6/2013 22:00,1868,low,low
None,289.28,0.0,0.0,40,Clouds,scattered clouds,5/14/2013 14:00,5640,high,medium
None,274.08,0.0,0.0,90,Mist,mist,12/23/2016 15:00,4566,high,medium
None,268.39,0.0,0.0,75,Clouds,broken clouds,3/23/2014 19:00,2812,low,low
None,278.8,0.0,0.0,90,Clouds,overcast clouds,11/17/2013 10:00,3357,medium,medium
None,277.93,0.0,0.0,1,Clear,sky is clear,11/29/2017 22:00,1780,low,medium
None,274.89,0.0,0.0,90,Fog,fog,12/3/2012 12:00,4777,high,medium
None,275.96,0.51,0.0,90,Rain,light rain,3/11/2014 8:00,5297,high,medium
None,271.76,0.0,0.0,1,Clear,sky is clear,12/3/2015 19:00,3421,medium,low
None,260.84,0.0,0.0,90,Haze,haze,12/28/2017 16:00,5141,high,low
None,287.15,0.0,0.0,1,Mist,mist,8/7/2017 2:00,292,very low,medium
None,290.81,0.0,0.0,1,Clear,sky is clear,9/12/2016 1:00,307,very low,medium
None,290.94,0.38,0.0,75,Smoke,smoke,7/6/2015 13:00,4307,medium,medium
None,277.86,0.0,0.0,90,Rain,light rain,4/9/2013 4:00,737,very low,medium
None,299.59,0.0,0.0,1,Clear,sky is clear,8/2/2015 18:00,3482,medium,high
None,263.0,0.0,0.0,64,Snow,light snow,12/25/2013 23:00,1035,very low,low
None,270.77,0.0,0.0,20,Clouds,few clouds,3/7/2013 15:00,6428,very high,low
None,284.38,0.0,0.0,90,Clouds,overcast clouds,4/26/2014 14:00,3235,medium,medium
None,291.15,0.0,0.0,1,Clear,sky is clear,4/8/2017 13:00,4358,medium,medium
None,275.49,0.0,0.0,90,Clouds,overcast clouds,4/23/2013 5:00,2580,low,medium
None,272.36,0.0,0.0,40,Clouds,scattered clouds,1/8/2018 0:00,455,very low,medium
None,272.29,0.0,0.0,75,Clouds,broken clouds,2/23/2017 20:00,3210,medium,medium
None,289.01,0.0,0.0,75,Drizzle,drizzle,8/26/2017 9:00,3690,medium,medium
None,293.67,0.0,0.0,48,Clouds,scattered clouds,9/9/2013 6:00,5842,very high,high
None,274.15,0.0,0.0,90,Drizzle,light intensity drizzle,11/1/2017 17:00,5858,very high,medium
None,289.52,0.0,0.0,0,Clear,Sky is Clear,7/11/2013 7:00,6508,very high,medium
None,287.28,0.0,0.0,20,Clouds,few clouds,10/22/2017 13:00,4343,medium,medium
None,295.3,0.0,0.0,40,Drizzle,light intensity drizzle,7/13/2018 6:00,5268,high,high
None,280.29,0.0,0.0,90,Clouds,overcast clouds,4/19/2017 5:00,2759,low,medium
None,293.33,0.0,0.0,0,Clear,Sky is Clear,8/11/2013 11:00,3692,medium,high
None,281.53,0.0,0.0,1,Haze,haze,10/22/2015 10:00,4583,high,medium
None,287.59,0.0,0.0,1,Mist,mist,7/3/2016 5:00,590,very low,medium
None,269.63,0.0,0.0,1,Clear,sky is clear,3/28/2013 9:00,4991,high,low
None,292.13,0.0,0.0,0,Clear,Sky is Clear,6/16/2013 22:00,2777,low,high
None,278.95,0.0,0.0,90,Rain,light rain,4/10/2017 15:00,5551,high,medium
None,270.77,0.0,0.0,20,Clouds,few clouds,3/12/2014 17:00,6039,very high,low
None,303.94,0.0,0.0,40,Clouds,scattered clouds,7/9/2018 16:00,6311,very high,high
None,294.23,11.78,0.0,90,Mist,mist,7/6/2015 4:00,760,very low,high
None,272.65,0.0,0.0,1,Clear,sky is clear,3/12/2018 23:00,2003,low,medium
None,274.36,0.0,0.0,64,Fog,fog,12/3/2013 9:00,5144,high,medium
None,279.48,0.0,0.0,90,Clouds,overcast clouds,5/1/2016 2:00,735,very low,medium
None,277.69,0.0,0.0,90,Rain,light rain,5/2/2013 20:00,3130,medium,medium
None,294.69,1.52,0.0,1,Drizzle,light intensity drizzle,8/23/2016 21:00,2298,low,high
None,275.72,0.0,0.0,90,Rain,light rain,4/13/2018 18:00,4167,medium,medium
None,285.61,0.0,0.0,75,Clouds,broken clouds,11/17/2016 12:00,4849,high,medium
None,269.68,0.0,0.0,40,Clouds,scattered clouds,1/10/2017 0:00,519,very low,low
None,271.56,0.0,0.0,90,Mist,mist,12/22/2015 1:00,434,very low,low
None,274.55,0.0,0.0,90,Thunderstorm,proximity thunderstorm,3/5/2018 11:00,3611,medium,medium
None,276.11,0.0,0.0,90,Haze,haze,3/9/2013 17:00,4361,medium,medium
None,302.274,0.0,0.0,20,Clouds,few clouds,7/21/2016 0:00,603,very low,high
None,295.75,0.0,0.0,1,Clear,sky is clear,7/10/2018 23:00,1311,very low,high
None,283.01,0.0,0.0,40,Clouds,scattered clouds,10/17/2017 10:00,4615,high,medium
None,263.26,0.0,0.0,90,Clouds,overcast clouds,2/8/2014 17:00,4457,high,low
None,269.62,0.0,0.0,1,Clear,sky is clear,1/10/2017 2:00,255,very low,low
None,249.93,0.0,0.0,5,Clear,sky is clear,1/2/2018 7:00,5696,high,low
None,260.85,0.0,0.0,5,Clear,sky is clear,1/14/2017 20:00,2945,medium,low
None,286.9,0.0,0.0,1,Clear,sky is clear,5/21/2018 0:00,652,very low,medium
None,289.01,0.25,0.0,20,Fog,fog,8/28/2016 2:00,656,very low,medium
None,289.92,0.0,0.0,1,Clear,sky is clear,8/27/2016 0:00,1342,very low,medium
None,290.86,0.0,0.0,1,Clear,sky is clear,8/6/2015 1:00,461,very low,medium
None,284.29,0.25,0.0,75,Rain,light rain,5/13/2014 18:00,4817,high,medium
None,298.62,0.0,0.0,1,Clear,sky is clear,6/16/2018 2:00,587,very low,high
None,294.71,0.0,0.0,1,Clear,sky is clear,7/13/2016 4:00,855,very low,high
None,260.5,0.0,0.0,90,Clouds,overcast clouds,2/14/2016 1:00,966,very low,low
None,274.19,0.0,0.0,90,Haze,haze,2/26/2013 13:00,4821,high,medium
None,298.06,0.0,0.0,32,Clouds,scattered clouds,6/25/2013 18:00,4533,high,high
None,281.15,0.0,0.0,75,Drizzle,light intensity drizzle,4/13/2017 2:00,297,very low,medium
None,287.19,0.0,0.0,75,Clouds,broken clouds,9/24/2018 8:00,5900,very high,medium
None,274.31,0.0,0.0,20,Clouds,few clouds,12/14/2012 14:00,5519,high,medium
None,255.57,0.0,0.0,5,Clear,sky is clear,1/8/2014 12:00,4460,high,low
None,273.02,0.0,0.0,1,Clear,sky is clear,3/8/2017 14:00,5642,high,medium
None,296.44,0.0,0.0,1,Rain,moderate rain,6/17/2018 23:00,1218,very low,high
None,288.64,0.0,0.0,24,Clouds,few clouds,8/7/2016 7:00,1477,low,medium
None,278.35,0.0,0.0,90,Mist,mist,3/26/2017 19:00,2990,medium,medium
None,293.73,0.0,0.0,90,Thunderstorm,proximity thunderstorm,6/8/2018 12:00,5415,high,high
None,263.55,0.0,0.0,75,Clouds,broken clouds,12/28/2012 11:00,4471,high,low
None,270.74,0.0,0.05,90,Snow,light snow,12/26/2015 8:00,1472,low,low
None,297.36,0.0,0.0,1,Drizzle,light intensity drizzle,6/17/2018 6:00,885,very low,high
None,287.15,0.0,0.0,90,Thunderstorm,proximity thunderstorm,5/19/2013 10:00,3591,medium,medium
None,296.19,0.0,0.0,1,Clear,sky is clear,9/15/2018 2:00,584,very low,high
None,292.42,0.0,0.0,75,Rain,light rain,9/8/2016 21:00,2534,low,high
None,286.88,0.0,0.0,40,Fog,fog,8/7/2017 3:00,350,very low,medium
None,296.18,0.0,0.0,75,Clouds,broken clouds,9/2/2016 15:00,5307,high,high
None,290.15,0.0,0.0,1,Clear,sky is clear,3/28/2017 17:00,6280,very high,medium
None,298.61,0.0,0.0,90,Rain,moderate rain,7/4/2018 10:00,1920,low,high
None,294.94,0.0,0.0,1,Clear,sky is clear,9/19/2016 0:00,757,very low,high
None,280.62,0.0,0.0,90,Clouds,overcast clouds,3/7/2017 14:00,5215,high,medium
None,297.3,0.0,0.0,1,Clear,sky is clear,9/14/2017 11:00,4844,high,high
None,272.41,0.0,0.0,75,Clouds,broken clouds,4/5/2016 7:00,6904,very high,medium
None,297.01,0.0,0.0,1,Drizzle,light intensity drizzle,8/20/2018 16:00,6423,very high,high
None,286.02,0.0,0.0,90,Clouds,overcast clouds,10/9/2015 14:00,5259,high,medium
None,290.5,0.0,0.0,100,Rain,light rain,8/20/2016 0:00,1192,very low,medium
None,285.72,0.0,0.0,100,Rain,light rain,10/17/2012 9:00,5403,high,medium
None,295.72,0.3,0.0,90,Rain,light rain,6/6/2014 20:00,3515,medium,high
None,292.86,0.0,0.0,75,Rain,moderate rain,7/26/2018 15:00,5752,high,high
None,284.84,0.0,0.0,90,Haze,haze,3/14/2016 13:00,4820,high,medium
None,297.02,0.0,0.0,75,Clouds,broken clouds,8/7/2018 20:00,2888,low,high
None,299.62,0.0,0.0,1,Clear,sky is clear,6/30/2018 8:00,2840,low,high
None,273.3,0.0,0.0,90,Clouds,overcast clouds,11/15/2017 13:00,4945,high,medium
None,275.03,0.0,0.0,90,Rain,moderate rain,12/16/2012 9:00,2300,low,medium
None,289.38,0.0,0.0,1,Clear,sky is clear,4/27/2013 21:00,3075,medium,medium
None,250.22,0.0,0.0,1,Clear,sky is clear,1/14/2018 5:00,474,very low,low
None,269.35,0.0,0.0,1,Clear,sky is clear,3/14/2017 13:00,4968,high,low
None,302.51,0.0,0.0,5,Clear,sky is clear,7/17/2017 13:00,4914,high,high
None,271.79,0.0,0.0,90,Clouds,overcast clouds,10/31/2017 6:00,5968,very high,low
